station,connecting_line,connecting_lineLabel,coordinate_location,stationLabel
http://www.wikidata.org/entity/Q4944343,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.69288 -23.63346),Estação Borba Gato
http://www.wikidata.org/entity/Q11681623,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.7674 -23.236),Estação Botujuru
http://www.wikidata.org/entity/Q10275612,http://www.wikidata.org/entity/Q5245830,Linha 11 do Trem Metropolitano de São Paulo,Point(-46.22522 -23.53624),Estação Braz Cubas
http://www.wikidata.org/entity/Q4961886,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.60715 -23.54636),Estação Bresser-Mooca
http://www.wikidata.org/entity/Q2925324,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.648035 -23.568098),Estação Brigadeiro
http://www.wikidata.org/entity/Q4974689,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.688305555 -23.627111111),Estação Brooklin
http://www.wikidata.org/entity/Q18475676,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.710021 -23.755808),Estação Bruno Covas/Mendes-Vila Natal
http://www.wikidata.org/entity/Q107232685,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.615881 -23.547826),Estação Brás
http://www.wikidata.org/entity/Q9295692,http://www.wikidata.org/entity/Q6553067,Linha 13 do Trem Metropolitano de São Paulo,Point(-46.61634 -23.54504),Estação Brás
http://www.wikidata.org/entity/Q9295692,http://www.wikidata.org/entity/Q5245830,Linha 11 do Trem Metropolitano de São Paulo,Point(-46.61634 -23.54504),Estação Brás
http://www.wikidata.org/entity/Q9295692,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.61634 -23.54504),Estação Brás
http://www.wikidata.org/entity/Q9295692,http://www.wikidata.org/entity/Q5245789,Linha 12 do Trem Metropolitano de São Paulo,Point(-46.61634 -23.54504),Estação Brás
http://www.wikidata.org/entity/Q9295692,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.61634 -23.54504),Estação Brás
http://www.wikidata.org/entity/Q5002360,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.70814 -23.57182),Estação Butantã
http://www.wikidata.org/entity/Q5556392,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.75148455 -23.36619377),Estação Caieiras
http://www.wikidata.org/entity/Q10275620,http://www.wikidata.org/entity/Q5245830,Linha 11 do Trem Metropolitano de São Paulo,Point(-46.33277 -23.52545),Estação Calmon Viana
http://www.wikidata.org/entity/Q10275620,http://www.wikidata.org/entity/Q5245789,Linha 12 do Trem Metropolitano de São Paulo,Point(-46.33277 -23.52545),Estação Calmon Viana
http://www.wikidata.org/entity/Q18475274,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.537678 -23.595354),Estação Camilo Haddad
http://www.wikidata.org/entity/Q8076578,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.68251 -23.61881),Estação Campo Belo
http://www.wikidata.org/entity/Q5028448,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.759148 -23.649374),Estação Campo Limpo
http://www.wikidata.org/entity/Q8778920,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.7859 -23.2063),Estação Campo Limpo Paulista
http://www.wikidata.org/entity/Q10275627,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.490096 -23.658357),Estação Capuava
http://www.wikidata.org/entity/Q5037175,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.768177 -23.659251),Estação Capão Redondo
http://www.wikidata.org/entity/Q5037696,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.624904 -23.509662),Estação Carandiru
http://www.wikidata.org/entity/Q10275630,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.83531 -23.51854),Estação Carapicuíba
http://www.wikidata.org/entity/Q5046842,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.563513 -23.537599),Estação Carrão
http://www.wikidata.org/entity/Q10275638,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.742604 -23.537412),Estação Ceasa
http://www.wikidata.org/entity/Q5118642,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.63061 -23.59262),Estação Chácara Klabin
